country,source,title,date_iso,summary,url,category,status
Burkina Faso,Gouvernement.gov.bf,Commande publique : L’ARCOP remet son rapport 2024 au Premier ministre,2025-10-06,"‎Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a reçu en audience, ce lundi 6 octobre 2025, à Ouagadougou, une délégation de l’Autorité de régulation de la commande publique (ARCOP), conduite par son Président du Conseil de régulation, Abdallah Youssef Chahine Traoré. Au cours de cette rencontre, le rapport annuel 2024 de l’institution a été remis […]",https://gouvernement.gov.bf/commande-publique-larcop-remet-son-rapport-2024-au-premier-ministre/,port,
Burkina Faso,Gouvernement.gov.bf,Cérémonie d’ouverture du Forum Invest In Sénégal : Dakar accueille les investisseurs du monde entier.,2025-10-08,"‎Le Président de la République du Sénégal, Bassirou Diomaye Faye, a présidé la cérémonie d’ouverture de la deuxième édition du Forum Invest In Sénégal, ce mardi 07 octobre 2025, au Centre International de Conférences Abdou Diouf de Diomniadio, devant un parterre de personnalités dont le Premier ministre burkinabè, Rimtalba Jean Emmanuel Ouédraogo. Placé sous le […]",https://gouvernement.gov.bf/ceremonie-douverture-du-forum-invest-in-senegal-dakar-accueille-les-investisseurs-du-monde-entier/,port,
Burkina Faso,Gouvernement.gov.bf,"Dialogue au sommet : ONU – Burkina Faso, un partenariat réaffirmé pour le développement",2025-09-29,"Le Premier ministre, Chef du Gouvernement, Rimtalba Jean Emmanuel Ouédraogo, a eu un entretien, dans la soirée du samedi 27 septembre 2025, avec le Secrétaire général de l’ONU, M. António Guterres. Cette rencontre, qui est intervenue après la déclaration à la tribune de l’Assemblée générale des Nations unies, a été pour le Chef du Gouvernement […]",https://gouvernement.gov.bf/dialogue-au-sommet-onu-burkina-faso-un-partenariat-reaffirme-pour-le-developpement/,port,
Burkina Faso,Gouvernement.gov.bf,Volontariat national : le Premier ministre lance les initiatives Senior et Diaspora,2025-10-03,"‎Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a présidé, ce vendredi 3 octobre 2025, la cérémonie officielle de lancement des initiatives « Volontariat Senior » et « Volontariat de la Diaspora ». Placée sous le thème « Valorisation de l’expertise des séniors et de la diaspora par l’engagement volontaire au service de la Révolution Progressiste […]",https://gouvernement.gov.bf/volontariat-national-le-premier-ministre-lance-les-initiatives-senior-et-diaspora/,port,
Burkina Faso,Gouvernement.gov.bf,UACO 2025 — Le Professeur Franklin Nyamsi décrypte les géostratégies et géopolitiques de la communication en Afrique contemporaine,2025-10-01,"À l’occasion de la cérémonie d’ouverture des Universités Africaines de la Communication de Ouagadougou (UACO), le professeur Franklin NYAMSI, philosophe et analyste politique, a livré une communication sur le thème: « Géostratégies et géopolitiques de la communication en Afrique contemporaine » . D’entrée, le professeur Nyamsi a posé une vérité : celui qui contrôle le […]",https://gouvernement.gov.bf/uaco-2025-le-professeur-franklin-nyamsi-decrypte-les-geostrategies-et-geopolitiques-de-la-communication-en-afrique-contemporaine/,port,
Burkina Faso,Gouvernement.gov.bf,3 Factors That Made Blockchain Become Valuable Last Year,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/3-factors-that-made-blockchain-become-valuable-last-year/,port,
Burkina Faso,Gouvernement.gov.bf,Forum Investir au Burkina Faso : le Premier ministre appelle à la mobilisation de la diaspora africaine,2025-09-24,"En prélude au Forum Investir au Burkina Faso, prévu les 9 et 10 octobre 2025, le Premier ministre Rimtalba Jean Emmanuel Ouédraogo a accordé une audience au président de la délégation spéciale consulaire de la Chambre de commerce et d’industrie du Burkina Faso (CCI-BF), Roland SOW, accompagné du directeur général de l’institution. À cette rencontre, […]",https://gouvernement.gov.bf/%f0%9d%90%85%f0%9d%90%a8%f0%9d%90%ab%f0%9d%90%ae%f0%9d%90%a6-%f0%9d%90%88%f0%9d%90%a7%f0%9d%90%af%f0%9d%90%9e%f0%9d%90%ac%f0%9d%90%ad%f0%9d%90%a2%f0%9d%90%ab-%f0%9d%90%9a%f0%9d%90%ae-%f0%9d%90%81/,port,
Burkina Faso,Gouvernement.gov.bf,"Diaspora AES aux USA : une même voix, une même ambition pour la souveraineté",2025-09-28,"Les Premiers ministres du Burkina Faso, du Mali et du Niger ont rencontré, ce samedi 27 septembre 2025, la communauté de l’Alliance des États du Sahel (AES) vivant aux États-Unis, à l’Hôtel Westin New York Grand Central. Les échanges, empreints de fraternité et de dignité, ont été marqués par un esprit de cohésion autour des […]",https://gouvernement.gov.bf/diaspora-aes-aux-usa-une-meme-voix-une-meme-ambition-pour-la-souverainete/,port,
Burkina Faso,Gouvernement.gov.bf,80e Assemblée générale de l’ONU : les Premiers ministres de l’AES affichent leur unité,2025-09-25,"En marge de la 80ᵉ session de l’Assemblée générale des Nations Unies, les trois Premiers ministres des pays membres de la Confédération des États du Sahel (AES) ont tenu une importante concertation. Cette rencontre, qui se voulait à la fois stratégique et fraternelle, a permis de réaffirmer la solidarité des trois pays et de définir […]",https://gouvernement.gov.bf/%f0%9d%9f%96%f0%9d%9f%8e%e1%b5%89-%f0%9d%90%80%f0%9d%90%ac%f0%9d%90%ac%f0%9d%90%9e%f0%9d%90%a6%f0%9d%90%9b%f0%9d%90%a5%f0%9d%90%9e%f0%9d%90%9e-%f0%9d%90%a0%f0%9d%90%9e%f0%9d%90%a7/,port,
Burkina Faso,Gouvernement.gov.bf,"La voix du Burkina Faso s’élève à l’ONU : réformes, justice et solidarité internationale",2025-09-27,"Le Premier ministre, Chef du Gouvernement, Son Excellence Monsieur Rimtalba Jean Emmanuel Ouédraogo, a prononcé ce samedi 27 septembre 2025 la déclaration du Burkina Faso à la tribune de la 80ᵉ session ordinaire de l’Assemblée générale des Nations Unies. Mandaté par le Camarade Président, le Capitaine Ibrahim Traoré, pour porter la voix du peuple burkinabè, […]",https://gouvernement.gov.bf/la-voix-du-burkina-faso-seleve-a-lonu-reformes-justice-et-solidarite-internationale/,port,
Burkina Faso,Gouvernement.gov.bf,"Mémoire africaine, justice et réparations : l’AES plaide pour une unité panafricaine",2025-09-26,"Le Premier ministre Rimtalba Jean Emmanuel Ouédraogo a pris part, le jeudi 25 septembre 2025, à la Rencontre de haut niveau sur la mémoire africaine, la justice et les réparations, organisée par la République du Sénégal, au African Burial Ground National Monument de New York. Ce lieu hautement symbolique, situé en plein cœur de Manhattan, […]",https://gouvernement.gov.bf/memoire-africaine-justice-et-reparations-laes-plaide-pour-une-unite-panafricaine/,port,
Burkina Faso,Gouvernement.gov.bf,"Audiences du Premier ministre à New York : Santé, humanitaire et agriculture au menu des échanges",2025-09-26,"En marge de la 80ᵉ session de l’Assemblée générale des Nations unies, le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a eu, le vendredi 26 septembre 2025, une série d’audiences dans la salle de conférence de la Mission permanente du Burkina Faso auprès de l’ONU à New York. Ces rencontres ont permis de nouer des échanges […]",https://gouvernement.gov.bf/audiences-du-premier-ministre-a-new-york-sante-humanitaire-et-agriculture-au-menu-des-echanges/,port,
Burkina Faso,Gouvernement.gov.bf,Grand meeting des sports traditionnels du Fonds national pour la promotion du sport et des loisirs : une première édition couronnée de succès,2025-10-13,"Le Ministre des Sports, de la Jeunesse et de l’Emploi Monsieur Roland SOMDA, Président de la première édition du grand meeting des sports traditionnels a pris part ce samedi 11 octobre 2025 à la Place des Martyrs de Dédougou, à la cérémonie de clôture de cette compétition, organisée par le Fonds National pour la Promotion […]",https://gouvernement.gov.bf/grand-meeting-des-sports-traditionnels-du-fonds-national-pour-la-promotion-du-sport-et-des-loisirs-une-premiere-edition-couronnee-de-succes/,port,
Burkina Faso,Gouvernement.gov.bf,Fonds de Soutien Patriotique : plus de 142 milliards F CFA mobilisés au troisième trimestre,2025-10-10,"‎Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a présidé, ce vendredi 10 octobre 2025 à Ouagadougou, la troisième session ordinaire de l’année 2025 du Conseil d’orientation du Fonds de Soutien Patriotique (FSP). Cette rencontre a réuni les membres du Conseil autour de l’évaluation des performances du Fonds et de la consolidation des acquis enregistrés depuis […]",https://gouvernement.gov.bf/fonds-de-soutien-patriotique-plus-de-142-milliards-f-cfa-mobilises-au-troisieme-trimestre/,port,
Burkina Faso,Gouvernement.gov.bf,A User’s Guide on Upcoming Forked Coins and Transactions,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/a-users-guide-on-upcoming-forked-coins-and-transactions/,port,
Burkina Faso,Gouvernement.gov.bf,See why BLCK Tokens a Fantastic Investment for the Future,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/see-why-blck-tokens-a-fantastic-investment-for-the-future/,port,
Burkina Faso,Gouvernement.gov.bf,South Korea Releases Official Guidelines for BLCK Trading,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/south-korea-releases-official-guidelines-for-blck-trading/,port,
Burkina Faso,Gouvernement.gov.bf,The Complete Breakdown: Simple Storage Guide for Beginners,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/the-complete-breakdown-simple-storage-guide-for-beginners/,port,
Burkina Faso,Gouvernement.gov.bf,Services Could Help Investors Rate BlockChain Technology,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/services-could-help-investors-rate-blockchain-technology/,port,
Burkina Faso,Gouvernement.gov.bf,Interpol to Increase Measures Against Crypto Laundering,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/interpol-to-increase-measures-against-crypto-laundering/,port,
Burkina Faso,Gouvernement.gov.bf,US Proposes Virtual Currency-Specific Regulatory Body,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/us-proposes-virtual-currency-specific-regulatory-body/,port,
Burkina Faso,Gouvernement.gov.bf,Regulators Greenlight BlockChain Future Implications,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/regulators-greenlight-blockchain-future-implications/,port,
Burkina Faso,Gouvernement.gov.bf,The EU Clarifies the Anti-Money Laundering Directive,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/the-eu-clarifies-the-anti-money-laundering-directive/,port,
Burkina Faso,Gouvernement.gov.bf,BlockChain Will Launch New Mining Operation With 5 nm Chips,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/blockchain-will-launch-new-mining-operation-with-5-nm-chips/,port,
Burkina Faso,Gouvernement.gov.bf,New Mining Centers Increase North American Market Position,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/new-mining-centers-increase-north-american-market-position/,port,
Burkina Faso,Gouvernement.gov.bf,This Year Will Bring Breakthrough Blockchain Developments,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/this-year-will-bring-breakthrough-blockchain-developments/,port,
Burkina Faso,Gouvernement.gov.bf,Proof of Insurance to Be Added on the BlockChain Network,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/proof-of-insurance-to-be-added-on-the-blockchain-network/,port,
Burkina Faso,Gouvernement.gov.bf,Rimtalba Jean Emmanuel Ouédraogo à la Diaspora : « Notre révolution est celle de la dignité et de la liberté »,2025-09-28,"Le Premier ministre, Chef du Gouvernement, Rimtalba Jean Emmanuel Ouédraogo, a rencontré, le samedi 27 septembre 2025 à la Représentation permanente du Burkina Faso à New York, la communauté burkinabè vivant aux États-Unis. Cette rencontre fraternelle a permis d’exposer les avancées de la Révolution progressiste populaire et de réaffirmer la détermination du Burkina Faso à […]",https://gouvernement.gov.bf/%f0%9d%90%91%f0%9d%90%a2%f0%9d%90%a6%f0%9d%90%ad%f0%9d%90%9a%f0%9d%90%a5%f0%9d%90%9b%f0%9d%90%9a-%f0%9d%90%89%f0%9d%90%9e%f0%9d%90%9a%f0%9d%90%a7-%f0%9d%90%84%f0%9d%90%a6%f0%9d%90%a6%f0%9d%90%9a/,port,
Burkina Faso,Gouvernement.gov.bf,Making NFTs Secure with Our New BlockChain Technology,2025-09-24,"BlockChain is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in […]",https://gouvernement.gov.bf/making-nfts-secure-with-our-new-blockchain-technology/,port,
Burkina Faso,Gouvernement.gov.bf,Camp de Thiaroye : le Premier ministre rend hommage aux tirailleurs africains.,2025-10-08,"Le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a visité le site du massacre du camp de Thiaroye, ce mardi 07 octobre 2025, en compagnie de ses homologues sénégalais, Ousmane Sonko, et nigérien, Ali Lamine Zeine. A travers cette visite sur ce site historique, il a pu honorer la mémoire des tirailleurs africains tombés sous les […]",https://gouvernement.gov.bf/camp-de-thiaroye-le-premier-ministre-rend-hommage-aux-tirailleurs-africains/,Infrastructure,
Burkina Faso,Gouvernement.gov.bf,2e phase des JEPPC 2025 : vent debout contre la corruption et le pillage des deniers publics,2025-10-02,"Le personnel de la Primature a pris part, ce 2 octobre 2025, à la cérémonie de montée des couleurs marquant le lancement de la deuxième phase des Journées nationales d’engagement patriotique et de participation citoyenne (JEPPEC). À l’occasion, le Premier ministre, Rimtalba Jean Emmanuel Ouédraogo, a livré le message du Président du Faso, le Capitaine […]",https://gouvernement.gov.bf/2e-phase-des-jeppc-2025-vent-debout-contre-la-corruption-et-le-pillage-des-deniers-publics/,Infrastructure,
