country,source,title,date_iso,summary,url,category,status
Ghana,Ghana Airports Company Limited,Ghana Airports Company Limited Launches 2025 International Customer Service Week,2025-10-07,"Accra, Ghana – 6th October 2025 – Ghana Airports Company Limited (GACL) has officially launched the 2025 International Customer Service Week under the theme “Enjoyable Experience, […]",https://www.gacl.com.gh/publications/ghana-airports-company-limited-launches-2025-international-customer-service-week/,Infrastructure,completed
Ghana,Ghana Airports Company Limited,GACL Pays Tribute to the Late Mr. Marwan Traboulsi,2025-10-07,"The Management of Ghana Airports Company Limited (GACL), led by the Managing Director, Mrs. Yvonne Nana Afriyie Opare, visited the Head Office of Ghana Air Cargo […]",https://www.gacl.com.gh/publications/ghana-airports-company-limited-pays-tribute-to-the-late-mr-marwan-traboulsi/,Infrastructure,
