country,source,title,date_iso,summary,url,category,status
Tanzania,The Citizen,How solar-powered drying plant is set to improve Lake Nyasa sardine processing,2025-10-27,The government  in collaboration with the Elico Foundation  has handed over a solar-powered fish drying plant worth Sh129.9 million to the Nyasa District Council to help reduce post-harvest...,https://www.thecitizen.co.tz/tanzania/news/national/how-solar-powered-drying-plant-is-set-to-improve-lake-nyasa-sardine-processing-5246642,,
Tanzania,The Citizen,When journalism meets activism,2025-10-27,undermining the credibility of the media? At its core  journalism is about informing the public  shining a light on injustice  and holding power to account. Activism  by contrast  is about...,https://www.thecitizen.co.tz/tanzania/oped/when-journalism-meets-activism-5246546,,
Tanzania,The Citizen,Weaving trust beyond the ballot: How ethical journalism shapes Tanzania’s future,2025-10-26,Balanced coverage  always: Every election story will be reviewed for balance — rallies and voter lines  rules and hopes. We report facts as they are  not as they appear or are perceived.,https://www.thecitizen.co.tz/tanzania/oped/weaving-trust-beyond-the-ballot-how-ethical-journalism-shapes-tanzania-s-future-5245658,,
Tanzania,The Citizen,Tanzania hits back at Amnesty over human rights report,2025-10-26,Amnesty’s Regional Director for East and Southern Africa  Tigere Chagutah  said opposition politicians had faced politically motivated charges and were being denied the right to contest elections.,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-hits-back-at-amnesty-over-human-rights-report-5245436,,
Tanzania,The Citizen,Trump puts permanent stamp on the White House,2025-10-25,When President Donald Trump met with donors for his new ballroom at the White House earlier this month  he relayed a story that thrilled his real estate mogul heart.,https://www.thecitizen.co.tz/tanzania/news/international/the-bulldozer-and-the-ballroom-trump-puts-permanent-stamp-on-the-white-house-5245014,,
Tanzania,The Citizen,Tanzania’s Bahati Female Band champions disability inclusion through music,2025-10-25,The Bagamoyo Arts and Cultural Institute (Taasisi ya Sanaa na Utamaduni Bagamoyo  TaSUBa) and the National Arts Council (Basata) praised the initiative  noting significant progress compared to...,https://www.thecitizen.co.tz/tanzania/news/entertainment/tanzania-s-bahati-female-band-champions-disability-inclusion-through-music-5244246,,
Tanzania,The Citizen,US sanctions Colombia's president  accuses him of allowing expansion of drug trade,2025-10-25,Petro  whose term will end in 10 months  has always opposed the strikes.,https://www.thecitizen.co.tz/tanzania/news/international/us-sanctions-colombia-s-president-accuses-him-of-allowing-expansion-of-drug-trade-5244144,,
Tanzania,The Citizen,Labour union hails wage surge  pension reforms,2025-10-24,Tucta welcomed a 34.4pc rise in private sector minimum wage  from Sh275 060 to Sh358 322 per month,https://www.thecitizen.co.tz/tanzania/news/national/labour-union-hails-wage-surge-pension-reforms-5243044,,
Tanzania,The Citizen,Inside the Luo burial rituals as Raila Odinga Jr named family head,2025-10-24,Raila Odinga Junior assumed leadership of the Odinga home following a traditional ceremony held at the family’s residence in Bondo on Thursday,https://www.thecitizen.co.tz/tanzania/news/africa/inside-the-luo-burial-rituals-as-raila-odinga-jr-named-family-head-5242986,,
Tanzania,The Citizen,Soybean farming receives $4.8 million investment boost,2025-10-27,Tanzania’s soybean sub-sector has received a boost following the signing of a $4.8 million financing agreement that seeks to improve productivity  market access and rural incomes,https://www.thecitizen.co.tz/tanzania/business/soybean-farming-receives-4-8-million-investment-boost-5246336,,
Tanzania,The Citizen,From Dar to Kigali: Serengeti Bytes fuels East Africa’s creative and tech synergy,2025-10-26,Serengeti Bytes’ work has already made an imprint across East Africa through strategic campaigns for multinational companies and homegrown enterprises alike.,https://www.thecitizen.co.tz/tanzania/news/national/from-dar-to-kigali-serengeti-bytes-fuels-east-africa-s-creative-and-tech-synergy-5245440,,
Tanzania,The Citizen,Study explores how smartphones can strengthen parenting in Tanzania’s digital age,2025-10-24,The project  which targets children aged four to six and their parents or caregivers  is currently being implemented across 12 wards in Kinondoni District.,https://www.thecitizen.co.tz/tanzania/news/national/study-explores-how-smartphones-can-strengthen-parenting-in-tanzania-s-digital-age-5243540,,
Tanzania,The Citizen,Rwegasira reflects on growth  innovation and the future of Tanzania’s travel industry,2025-10-24,The Tanzania Society of Travel Agents (TASOTA) has seen steady transformation in recent years  expanding its membership base and strengthening its voice as a key player in the country’s tourism...,https://www.thecitizen.co.tz/tanzania/news/national/rwegasira-reflects-on-growth-innovation-and-the-future-of-tanzania-s-travel-industry-5243058,,
Tanzania,The Citizen,Key Police witness concludes evidence in Chadema’s Tundu Lissu treason trial,2025-10-24,Inspector Kaaya gave evidence for six consecutive days from Wednesday October 15 until he finished on October 23. He testified before a three-judge bench hearing the case: Dunstan Ndunguru  James...,https://www.thecitizen.co.tz/tanzania/news/national/key-police-witness-concludes-evidence-in-chadema-s-tundu-lissu-treason-trial-5243004,,
Tanzania,The Citizen,NMB Bank named among Africa’s leading 40 banks,2025-10-24,NMB Bank Plc has been ranked among Africa’s top 40 banks by African Business Magazine  thanks to its strong capital base  solid profitability and substantial asset size,https://www.thecitizen.co.tz/tanzania/news/national/nmb-named-among-africa-s-top-40-banks-5242812,,
Tanzania,The Citizen,Vision 2050 to take centre stage during this year’s Tanzania Startup Week,2025-10-27,More than 2 000 startup founders  investors  policymakers and innovation leaders are expected to converge in Dar es Salaam from December 1 to 5  for the 2025 edition of Tanzania Startup Week,https://www.thecitizen.co.tz/tanzania/business/vision-2050-to-take-centre-stage-during-startup-week-5246326,,
Tanzania,The Citizen,Tanzania’s young innovators turn creativity into enterprise as university projects go commercial,2025-10-27,The two projects — an Internet of Things (IoT) system for detecting tomato spoilage and a modern road transport safety system — highlight how technology can be used to improve safety  resilience ...,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-s-young-innovators-turn-creativity-into-enterprise-as-university-projects-go-commercial-5244494,,
Tanzania,The Citizen,Young innovators lead climate fight with adaptive solutions,2025-10-27,Two Tanzanian enterprises will each receive a $30 000 grant and participate in a year-long acceleration and mentorship programme,https://www.thecitizen.co.tz/tanzania/news/national/young-innovators-lead-climate-fight-with-adaptive-solutions-5246712,,
Tanzania,The Citizen,Sugar manufacturers eye record production amid increased exports  investor confidence,2025-10-27,The Tanzania Sugar Producers Association has projected sugar availability of at least 350 000 tonnes in the second half of the 2025/26 season,https://www.thecitizen.co.tz/tanzania/business/producers-eye-record-sugar-output-as-exports-investor-confidence-rise-5246316,,
